title,meterage,Year of construction,number of rooms,price,price per meter,Floor,Elevator,Parking,Warehouse
آپارتمان ۷۵متری حاشیه فرهنگ آسانسور,۷۵,۱۳۹۲,۲,۳٬۴۰۰٬۰۰۰٬۰۰۰ تومان,۴۵٬۳۳۳٬۰۰۰ تومان,۳,آسانسور,پارکینگ,انباری
آپارتمان ۱۶۵ متری قبل چهار راه دانشجو،فول امکانات,۱۶۵,۱۴۰۲,۳,۷٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۴۳٬۶۳۶٬۰۰۰ تومان,۶,آسانسور,پارکینگ,انباری
اپارتمان ۱۲۵ متری شیک,۱۲۵,۱۴۰۲,۲,۵٬۴۰۰٬۰۰۰٬۰۰۰ تومان,۴۳٬۲۰۰٬۰۰۰ تومان,۳,آسانسور,پارکینگ,انباری
اقبال ۹۵  دو خواب صفر,۹۵,۱۴۰۲,۲,۴٬۳۰۰٬۰۰۰٬۰۰۰ تومان,۴۵٬۲۶۳٬۰۰۰ تومان,۳ از ۴,آسانسور,پارکینگ,انباری
93متری /سندملکی/نورگیر,۹۳,۱۳۹۸,۲,۳٬۲۹۰٬۰۰۰٬۰۰۰ تومان,۳۵٬۳۷۶٬۰۰۰ تومان,۱ از ۴,آسانسور,پارکینگ,انباری
آپارتمان فروشی واقع در بلوار دانش آموز 164 متر,۱۶۴,۱۴۰۲,۳,۷٬۶۵۰٬۰۰۰٬۰۰۰ تومان,۴۶٬۶۴۶٬۰۰۰ تومان,۳ از ۶,آسانسور,پارکینگ,انباری
اقبال ۱۳۵ متر ۳ خواب,۱۳۵,۱۴۰۲,۳,۶٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۴۴٬۴۴۴٬۰۰۰ تومان,۳ از ۵,آسانسور,پارکینگ,انباری
اپارتمان ۱۴۵ متر عرض معبر ۲۰ متری/هاشمیه,۱۴۵,۱۴۰۲,۳,۱۰٬۸۷۵٬۰۰۰٬۰۰۰ تومان,۷۵٬۰۰۰٬۰۰۰ تومان,۲ از ۵,آسانسور,پارکینگ,انباری
آپارتمان 85 متر سفت کاری 25 متر حیاط,۸۵,۱۴۰۲,۱,۴۰۵٬۰۰۰٬۰۰۰ تومان,۴٬۷۶۴٬۰۰۰ تومان,۲ از ۲,آسانسور ندارد,پارکینگ ندارد,انباری
آپارتمان ۱۳۰ متری،سند شش دانگ,۱۳۰,۱۴۰۲,۳,۴٬۵۵۰٬۰۰۰٬۰۰۰ تومان,۳۵٬۰۰۰٬۰۰۰ تومان,۱,آسانسور,پارکینگ,انباری
آپارتمان ۱۴۰ متری صفر نوساز,۱۴۰,۱۴۰۲,۲,۲٬۹۰۰٬۰۰۰٬۰۰۰ تومان,۲۰٬۷۱۴٬۰۰۰ تومان,۲,آسانسور,پارکینگ ندارد,انباری
112 متر نقویه صفر خوش نقشه,۱۱۲,۱۴۰۲,۲,۳٬۹۰۰٬۰۰۰٬۰۰۰ تومان,۳۴٬۸۲۱٬۰۰۰ تومان,۵,آسانسور,پارکینگ,انباری
90 متری,۹۰,۱۳۹۱,۲,۲٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۲۷٬۷۷۷٬۰۰۰ تومان,۲ از ۲,آسانسور ندارد,پارکینگ ندارد,انباری
( امامت ) ۱۶۵ متر . دو سال ساخت,۱۶۵,۱۴۰۰,۳,۷٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۴۵٬۴۵۴٬۰۰۰ تومان,۶,آسانسور,پارکینگ,انباری
آپارتمان 75 متری فلاحی/ ویو ابدی,۷۵,۱۳۸۷,۲,۲٬۶۰۰٬۰۰۰٬۰۰۰ تومان,۳۴٬۶۶۶٬۰۰۰ تومان,۳,آسانسور,پارکینگ,انباری
۸۸ متری صفر تحویل,۸۸,۱۴۰۲,۲,۲٬۸۶۰٬۰۰۰٬۰۰۰ تومان,۳۲٬۵۰۰٬۰۰۰ تومان,۳,آسانسور,پارکینگ,انباری
95متری آفتاب‌گیر دونبش رو به پارک,۹۵,۱۴۰۲,۲,۳٬۴۰۰٬۰۰۰٬۰۰۰ تومان,۳۵٬۷۸۹٬۰۰۰ تومان,۳ از ۵,آسانسور,پارکینگ,انباری
آپارتمان ۸۰متر فرامرز ۵۲ ط دوم,۸۰,۱۳۸۴,۲,۳٬۱۰۰٬۰۰۰٬۰۰۰ تومان,۳۸٬۷۵۰٬۰۰۰ تومان,۲,آسانسور ندارد,پارکینگ,انباری
